price,Empfohlenes Alter in Jahren (mind.),Empfohlenes Alter in Jahren (max.),Anzahl Teile,Verpackungsbreite,Verpackungstiefe,Verpackungshöhe,Paketgewicht
169.0,14.0,99.0,1901.0,378.0,582.0,87.0,2300.0
42.95,6.0,99.0,117.0,262.0,282.0,59.0,380.0
10.95,4.0,99.0,1.0,308.0,260.0,3.0,111.0
36.95,7.0,99.0,475.0,191.0,354.0,70.0,580.0
74.95,6.0,99.0,354.0,262.0,317.0,90.0,490.0
24.95,2.0,99.0,23.0,262.0,282.0,95.5,532.0
39.95,8.0,99.0,297.0,61.0,191.0,262.0,366.0
59.95,9.0,99.0,422.0,262.0,382.0,70.5,780.0
119.0,7.0,99.0,915.0,378.0,480.0,94.0,1790.0
109.0,18.0,99.0,590.0,354.0,191.0,91.0,730.0
24.95,7.0,99.0,258.0,191.0,262.0,61.0,465.0
119.0,18.0,99.0,1445.0,282.0,480.0,91.0,1640.0
159.0,18.0,99.0,979.0,480.0,378.0,112.0,1940.0
17.95,7.0,99.0,230.0,141.0,262.0,48.0,312.0
269.0,18.0,99.0,2585.0,480.0,378.0,112.0,2580.0
18.95,6.0,99.0,138.0,191.0,141.0,46.0,150.0
169.0,9.0,99.0,1159.0,378.0,582.0,87.0,1750.0
24.95,2.0,99.0,23.0,191.0,262.0,72.0,341.0
18.95,8.0,99.0,128.0,141.0,191.0,46.0,154.0
46.95,8.0,99.0,304.0,222.0,262.0,76.0,500.0
36.95,6.0,99.0,336.0,191.0,354.0,70.0,511.0
74.95,6.0,99.0,280.0,262.0,317.0,90.0,525.0
46.95,7.0,99.0,243.0,262.0,382.0,70.5,392.0
42.95,5.0,99.0,261.0,191.0,354.0,70.0,556.0
74.95,2.0,99.0,61.0,378.0,480.0,94.0,1390.0
74.95,9.0,99.0,840.0,378.0,354.0,70.5,1050.0
46.95,8.0,99.0,300.0,191.0,354.0,59.0,480.0
54.95,9.0,99.0,581.0,191.0,354.0,70.0,620.0
119.0,2.0,99.0,112.0,480.0,582.0,124.0,2920.0
84.95,18.0,99.0,675.0,354.0,191.0,91.0,780.0
59.95,8.0,99.0,510.0,262.0,382.0,56.5,672.0
54.95,8.0,99.0,564.0,262.0,382.0,70.5,1030.0
46.95,8.0,99.0,340.0,191.0,354.0,59.0,555.0
54.95,6.0,99.0,507.0,282.0,480.0,61.0,795.0
24.95,6.0,99.0,203.0,191.0,262.0,46.0,294.0
69.95,6.0,99.0,540.0,378.0,354.0,94.0,1350.0
54.95,8.0,99.0,556.0,262.0,382.0,56.5,960.0
59.95,8.0,99.0,422.0,262.0,282.0,76.0,680.0
69.95,6.0,99.0,373.0,282.0,480.0,61.0,873.0
26.95,7.0,99.0,121.0,141.0,262.0,48.0,200.0
10.95,4.0,99.0,1.0,308.0,260.0,3.0,110.0
36.95,6.0,99.0,300.0,191.0,354.0,59.0,503.0
11.95,2.0,99.0,10.0,141.0,191.0,61.0,223.0
119.0,8.0,99.0,466.0,282.0,480.0,61.0,1030.0
29.95,8.0,99.0,154.0,191.0,262.0,46.0,311.0
4.95,7.0,99.0,348.0,262.0,317.0,70.5,600.0
11.95,5.0,99.0,59.0,141.0,157.0,45.0,116.0
11.95,7.0,99.0,178.0,141.0,157.0,45.0,143.0
109.0,10.0,99.0,764.0,262.0,382.0,94.0,1120.0
59.95,18.0,99.0,805.0,262.0,382.0,94.0,1210.0
18.95,6.0,99.0,130.0,141.0,191.0,70.5,155.0
119.0,7.0,99.0,816.0,378.0,480.0,94.0,1740.0
54.95,4.0,99.0,154.0,262.0,282.0,59.0,514.0
149.0,18.0,99.0,1254.0,282.0,540.0,91.0,1680.0
24.95,5.0,99.0,194.0,191.0,262.0,61.0,375.0
149.0,8.0,99.0,1216.0,378.0,480.0,94.0,1540.0
79.95,4.0,99.0,154.0,262.0,282.0,59.0,658.0
4.95,5.0,99.0,46.0,195.0,170.0,70.5,600.0
119.0,18.0,99.0,1483.0,262.0,382.0,94.0,1370.0
229.0,18.0,99.0,2923.0,480.0,582.0,124.0,4030.000000000001
119.0,8.0,99.0,624.0,282.0,480.0,74.0,1090.0
54.95,8.0,99.0,427.0,262.0,282.0,76.0,730.0
159.0,7.0,99.0,348.0,262.0,317.0,70.5,600.0
24.95,2.0,99.0,27.0,191.0,262.0,72.0,361.0
11.95,6.0,99.0,109.0,141.0,191.0,46.0,139.0
119.0,9.0,99.0,795.0,378.0,480.0,70.5,1430.0
29.95,2.0,5.0,26.0,262.0,382.0,118.0,882.0
149.0,12.0,99.0,693.0,282.0,540.0,78.5,1430.0
46.95,8.0,99.0,275.0,262.0,191.0,61.0,346.0
