price,Empfohlenes Alter in Jahren (mind.),Anzahl Teile,Verpackungsbreite,Verpackungstiefe,Verpackungshöhe,Ursprungsland_ Ungarn ,Ursprungsland_ China ,Ursprungsland_ Tschechische Republik ,LegoCategory_Rare,LegoCategory_LEGO City ,LegoCategory_LEGO Duplo ,LegoCategory_LEGO Star Wars ,LegoCategory_LEGO Super Mario ,LegoCategory_LEGO Friends 
119.0,10.0,973.0,282.0,540.0,59.0,1,0,0,1,0,0,0,0,0
249.0,18.0,2899.0,480.0,582.0,124.0,1,0,0,1,0,0,0,0,0
36.95,5.0,295.0,262.0,282.0,59.0,0,0,1,0,1,0,0,0,0
59.95,12.0,598.0,191.0,262.0,61.0,0,0,1,1,0,0,0,0,0
54.95,4.0,235.0,282.0,480.0,61.0,0,0,1,0,1,0,0,0,0
139.0,7.0,154.0,141.0,157.0,61.0,0,0,1,1,0,0,0,0,0
119.0,18.0,1810.0,378.0,480.0,112.0,1,0,0,1,0,0,0,0,0
79.95,8.0,615.0,262.0,382.0,56.5,0,1,0,1,0,0,0,0,0
54.95,8.0,482.0,262.0,282.0,76.0,0,0,1,1,0,0,0,0,0
24.95,7.0,23.0,191.0,354.0,91.0,1,0,0,0,0,1,0,0,0
119.0,9.0,924.0,282.0,480.0,74.0,0,0,1,0,0,0,1,0,0
219.0,8.0,2010.0,480.0,582.0,91.0,1,0,0,0,1,0,0,0,0
74.95,9.0,722.0,282.0,480.0,61.0,1,0,0,1,0,0,0,0,0
46.95,7.0,227.0,262.0,382.0,70.5,0,0,1,1,0,0,0,0,0
139.0,18.0,1466.0,282.0,480.0,91.0,1,0,0,1,0,0,0,0,0
46.95,8.0,166.0,191.0,262.0,46.0,0,1,0,0,0,0,1,0,0
54.95,7.0,376.0,262.0,382.0,70.5,1,0,0,0,0,0,0,0,1
209.0,18.0,1775.0,378.0,480.0,112.0,1,0,0,1,0,0,0,0,0
69.95,7.0,545.0,282.0,480.0,61.0,0,1,0,0,0,0,0,0,1
59.95,9.0,544.0,262.0,382.0,70.5,0,1,0,1,0,0,0,0,0
24.95,5.0,148.0,191.0,262.0,61.0,0,0,1,0,1,0,0,0,0
4.95,7.0,348.0,262.0,317.0,70.5,0,0,1,1,0,0,0,0,0
84.95,14.0,754.0,382.0,262.0,70.5,1,0,0,1,0,0,0,0,0
119.0,10.0,900.0,354.0,378.0,70.5,1,0,0,1,0,0,0,0,0
26.95,4.0,110.0,141.0,262.0,61.0,0,1,0,1,0,0,0,0,0
